Trial,Mouse,Freezing %
1,1,75
2,1,92
3,1,80
4,1,86.33
5,1,81.57
6,1,81.4
7,1,56.57
8,1,83.17
9,1,49
10,1,91
11,1,32.8
12,1,73.83
13,1,66.17
14,1,63.83
1,2,0
2,2,0
3,2,0
4,2,0
5,2,11.92
6,2,0
7,2,11.75
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
1,3,34.83
2,3,33.97
3,3,91.33
4,3,84.33
5,3,38.88
6,3,40.67
7,3,39
8,3,21.33
9,3,23.5
10,3,60
11,3,50.3
12,3,67.5
13,3,46.67
14,3,50.67
1,4,0
2,4,21.27
3,4,20.5
4,4,0
5,4,14.6
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,51.67
14,4,0
1,5,65.17
2,5,64.5
3,5,93.18
4,5,65.83
5,5,57.17
6,5,62.83
7,5,58.17
8,5,52.17
9,5,79.5
10,5,96.17
11,5,0
12,5,12.67
13,5,39.83
14,5,15.5
1,6,49.5
2,6,30
3,6,23.03
4,6,73.3
5,6,89.67
6,6,44.5
7,6,49.83
8,6,35.83
9,6,38.67
10,6,27.33
11,6,26.17
12,6,0
13,6,46.3
14,6,6
1,7,26.34
2,7,18.83
3,7,68.83
4,7,46
5,7,93.67
6,7,0
7,7,78.67
8,7,42.17
9,7,16.93
10,7,3
11,7,0
12,7,0
13,7,23.5
14,7,25.17
1,8,3413
2,8,25
3,8,10
4,8,38.83
5,8,0
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
12,8,0
13,8,10.67
14,8,12.5
