Fear Extinction ,,,,,,,,,,,,,,,
Ez Track Data,,,,,,,,,,,,,,,
Mouse 1 ,% Freezing,Mouse 2,% Freezing,Mouse 3,% Freezing,Mouse 4,% Freezing,Mouse 5,% Freezing,Mouse 6,% Freezing,Mouse 7,% Freezing,Mouse 8,% Freezing
1,75,1,NA,1,34.83,1,NA,1,65.17,1,49.5,1,26.34,1,34.13
2,92,2,NA,2,33.96,2,NA,2,64.5,2,30,2,18.83,2,25
3,80,3,NA,3,91.3,3,NA,3,93.18,3,23.03,3,68.83,3,10
4,86.33,4,NA,4,84.33,4,NA,4,65.83,4,73.3,4,46,4,38.83
5,81.57,5,NA,5,38.89,5,NA,5,57.17,5,89.67,5,93.67,5,0
6,81.4,6,NA,6,40.67,6,NA,6,62.83,6,44.5,6,0,6,0
7,56.57,7,NA,7,39,7,NA,7,58.17,7,49.83,7,78.67,7,0
8,83.17,8,NA,8,21.33,8,NA,8,52.17,8,35.83,8,42.17,8,0
9,49,9,NA,9,23.5,9,NA,9,79.5,9,38.67,9,16.83,9,0
10,91,10,NA,10,60,10,NA,10,96.17,10,27.33,10,3,10,0
11,32.8,11,NA,11,50.33,11,NA,11,0,11,26.17,11,0,11,0
12,73.83,12,NA,12,67.5,12,NA,12,12.67,12,0,12,0,12,0
13,66.17,13,NA,13,46.67,13,NA,13,39.83,13,46.3,13,23.5,13,10.67
14,63.83,14,NA,14,50.67,14,NA,14,15.5,14,6,14,25.17,14,12.5
